Decade,UN_Geosheme_Subregion,Disaster_Type,RCP,Financial_Impact,Human_Impact,DO
2020,Caribbean,Droughts,2.6,58644000,1108134,54
2020,Caribbean,Droughts,4.5,58644000,1108134,54
2020,Caribbean,Droughts,6.0,58644000,1108134,54
2020,Caribbean,Droughts,8.5,58644000,1108134,54
2020,Caribbean,Floods,2.6,1917922325,1555492,11
2020,Caribbean,Floods,4.5,1569209175,1272675,9
2020,Caribbean,Floods,6.0,1743565750,1414084,10
2020,Caribbean,Floods,8.5,1743565750,1414084,10
2020,Caribbean,Storms,2.6,176548000,50508,92
2020,Caribbean,Storms,4.5,174629000,49959,91
2020,Caribbean,Storms,6.0,176548000,50508,92
2020,Caribbean,Storms,8.5,184224000,52704,96
2020,Central America,Droughts,2.6,128480000,556600,55
2020,Central America,Droughts,4.5,128480000,556600,55
2020,Central America,Droughts,6.0,128480000,556600,55
2020,Central America,Droughts,8.5,128480000,556600,55
2020,Central America,Floods,2.6,1569209175,1272675,9
2020,Central America,Floods,4.5,2092278900,1696900,12
2020,Central America,Floods,6.0,1917922325,1555492,11
2020,Central America,Floods,8.5,1569209175,1272675,9
2020,Central America,Storms,2.6,76137000,19188,41
2020,Central America,Storms,4.5,92850000,23400,50
2020,Central America,Storms,6.0,77994000,19656,42
2020,Central America,Storms,8.5,100278000,25272,54
2020,Central Asia,Droughts,2.6,508250000,15200000,38
2020,Central Asia,Droughts,4.5,508250000,15200000,38
2020,Central Asia,Droughts,6.0,508250000,15200000,38
2020,Central Asia,Droughts,8.5,508250000,15200000,38
2020,Central Asia,Floods,2.6,1394852600,1131267,8
2020,Central Asia,Floods,4.5,1220496025,989858,7
2020,Central Asia,Floods,6.0,1569209175,1272675,9
2020,Central Asia,Floods,8.5,871782875,707042,5
2020,Central Asia,Storms,2.6,2964000,12870,13
2020,Central Asia,Storms,4.5,2964000,12870,13
2020,Central Asia,Storms,6.0,2964000,12870,13
2020,Central Asia,Storms,8.5,3192000,13860,14
2020,Eastern Africa,Droughts,2.6,84912000,978501,61
2020,Eastern Africa,Droughts,4.5,96048000,1106829,69
2020,Eastern Africa,Droughts,6.0,103008000,1187034,74
2020,Eastern Africa,Droughts,8.5,94656000,1090788,68
2020,Eastern Africa,Floods,2.6,2789705200,2262534,16
2020,Eastern Africa,Floods,4.5,3661488075,2969576,21
2020,Eastern Africa,Floods,6.0,2964061775,2403943,17
2020,Eastern Africa,Floods,8.5,3312774925,2686759,19
2020,Eastern Africa,Storms,2.6,29350000,57950,50
2020,Eastern Africa,Storms,4.5,35220000,69540,60
2020,Eastern Africa,Storms,6.0,32285000,63745,55
2020,Eastern Africa,Storms,8.5,35220000,69540,60
2020,Eastern Asia,Droughts,2.6,500539000,3881761,13
2020,Eastern Asia,Droughts,4.5,539042000,4180358,14
2020,Eastern Asia,Droughts,6.0,539042000,4180358,14
2020,Eastern Asia,Droughts,8.5,539042000,4180358,14
2020,Eastern Asia,Floods,2.6,24712906408,20042908,7
2020,Eastern Asia,Floods,4.5,30101409634,24413146,8
2020,Eastern Asia,Floods,6.0,42646803688,34587837,9
2020,Eastern Asia,Floods,8.5,24887262983,20184317,8
2020,Eastern Asia,Storms,2.6,40768000,91924,49
2020,Eastern Asia,Storms,4.5,61568000,138824,74
2020,Eastern Asia,Storms,6.0,61568000,138824,74
2020,Eastern Asia,Storms,8.5,64896000,146328,78
2020,Eastern Europe,Droughts,2.6,765000000,405382,17
2020,Eastern Europe,Droughts,4.5,765000000,405382,17
2020,Eastern Europe,Droughts,6.0,765000000,405382,17
2020,Eastern Europe,Droughts,8.5,765000000,405382,17
2020,Eastern Europe,Floods,2.6,2440992050,1979717,14
2020,Eastern Europe,Floods,4.5,2440992050,1979717,14
2020,Eastern Europe,Floods,6.0,2440992050,1979717,14
2020,Eastern Europe,Floods,8.5,2964061775,2403943,17
2020,Eastern Europe,Storms,2.6,9856000,15862,14
2020,Eastern Europe,Storms,4.5,8448000,13596,12
2020,Eastern Europe,Storms,6.0,10560000,16995,15
2020,Eastern Europe,Storms,8.5,8448000,13596,12
2020,Melanesia,Droughts,2.6,315000000,3421782,63
2020,Melanesia,Droughts,4.5,320000000,3476096,64
2020,Melanesia,Droughts,6.0,315000000,3421782,63
2020,Melanesia,Droughts,8.5,320000000,3476096,64
2020,Melanesia,Floods,2.6,1046139450,848450,6
2020,Melanesia,Floods,4.5,1046139450,848450,6
2020,Melanesia,Floods,6.0,1046139450,848450,6
2020,Melanesia,Floods,8.5,1220496025,989858,7
2020,Melanesia,Storms,2.6,5768000,5208,14
2020,Melanesia,Storms,4.5,4944000,4464,12
2020,Melanesia,Storms,6.0,5768000,5208,14
2020,Melanesia,Storms,8.5,5768000,5208,14
2020,Micronesia,Droughts,2.6,84280000,826202,86
2020,Micronesia,Droughts,4.5,84280000,826202,86
2020,Micronesia,Droughts,6.0,84280000,826202,86
2020,Micronesia,Droughts,8.5,84280000,826202,86
2020,Micronesia,Floods,2.6,819427938,664580,5
2020,Micronesia,Floods,4.5,819427938,664580,5
2020,Micronesia,Floods,6.0,819427938,664580,5
2020,Micronesia,Floods,8.5,671248831,544402,4
2020,Micronesia,Storms,2.6,0,0,0
2020,Micronesia,Storms,4.5,0,0,0
2020,Micronesia,Storms,6.0,0,0,0
2020,Micronesia,Storms,8.5,0,0,0
2020,Middle Africa,Droughts,2.6,106288000,2049548,73
2020,Middle Africa,Droughts,4.5,106288000,2049548,73
2020,Middle Africa,Droughts,6.0,106288000,2049548,73
2020,Middle Africa,Droughts,8.5,106288000,2049548,73
2020,Middle Africa,Floods,2.6,1569209175,1272675,9
2020,Middle Africa,Floods,4.5,1917922325,1555492,11
2020,Middle Africa,Floods,6.0,1743565750,1414084,10
2020,Middle Africa,Floods,8.5,1394852600,1131267,8
2020,Middle Africa,Storms,2.6,36000,2730,6
2020,Middle Africa,Storms,4.5,42000,3185,7
2020,Middle Africa,Storms,6.0,36000,2730,6
2020,Middle Africa,Storms,8.5,60000,4550,10
2020,Northern Africa,Droughts,2.6,923754000,5613660,39
2020,Northern Africa,Droughts,4.5,1421160000,8636400,60
2020,Northern Africa,Droughts,6.0,923754000,5613660,39
2020,Northern Africa,Droughts,8.5,1610648000,9787920,68
2020,Northern Africa,Floods,2.6,1569209175,1272675,9
2020,Northern Africa,Floods,4.5,1917922325,1555492,11
2020,Northern Africa,Floods,6.0,1394852600,1131267,8
2020,Northern Africa,Floods,8.5,1743565750,1414084,10
2020,Northern Africa,Storms,2.6,37864000,15528,8
