,UN_Geosheme_Subregion,Decade,RCP,DO,°C,Disaster_Type,Human_Impact,Financial_Impact
430,Polynesia,2050,6.0,3,27,Storms,795,1767000
431,Polynesia,2050,8.5,2,28,Storms,530,1178000
432,Polynesia,2060,2.6,3,27,Storms,795,1767000
433,Polynesia,2060,4.5,2,27,Storms,530,1178000
434,Polynesia,2060,6.0,2,27,Storms,530,1178000
435,Polynesia,2060,8.5,3,28,Storms,795,1767000
436,Polynesia,2070,2.6,3,27,Storms,795,1767000
437,Polynesia,2070,4.5,2,27,Storms,530,1178000
438,Polynesia,2070,6.0,1,28,Storms,265,589000
439,Polynesia,2070,8.5,3,28,Storms,795,1767000
440,Polynesia,2080,2.6,3,27,Storms,795,1767000
441,Polynesia,2080,4.5,2,28,Storms,530,1178000
442,Polynesia,2080,6.0,2,28,Storms,530,1178000
443,Polynesia,2080,8.5,8,29,Storms,2120,4712000
444,Polynesia,2090,2.6,3,27,Storms,795,1767000
445,Polynesia,2090,4.5,2,28,Storms,530,1178000
